word	rt.g1.n	rt.g1.m	rt.g1.se	rt.g2.n	rt.g2.m	rt.g2.se	rt.g3.n	rt.g3.m	rt.g3.se	rt.g4.n	rt.g4.m	rt.g4.se	rt.g6.n	rt.g6.m	rt.g6.se	rt.ya.n	rt.ya.m	rt.ya.se	rt.oa.n	rt.oa.m	rt.oa.se
Krone	20	3380	312	22	1687	154	19	1151	95	20	1051	80	29	695	40	21	571	28	20	650	30
Kröte	16	3286	321	19	1815	172	18	1250	104	22	1073	79	27	748	44	20	583	29	20	665	31
krumm	NA	NA	NA	19	1783	169	18	1392	117	17	1111	88	23	778	48	20	584	29	20	734	34
Küche	16	2910	284	18	1680	162	19	1075	89	20	992	75	28	696	40	20	536	27	20	621	29
Kuchen	15	3050	303	20	1815	170	23	1137	89	19	906	70	26	701	41	20	527	26	19	657	31
Kugel	15	3406	338	22	2087	191	17	1325	113	20	965	73	28	694	40	21	547	27	20	639	29
Kuh	17	2688	259	16	1456	145	21	1096	88	22	814	60	27	695	41	20	539	27	21	684	31
kühl	NA	NA	NA	15	1622	164	20	1274	103	19	1031	79	27	733	43	21	563	28	21	686	31
Kunst	16	2941	287	22	1509	138	18	999	83	18	843	66	30	680	39	21	544	27	19	644	30
kurz	NA	NA	NA	22	1772	162	20	1142	93	22	962	71	26	786	46	22	533	26	19	649	30
lachen	NA	NA	NA	23	1763	159	18	1138	95	20	919	70	29	767	44	22	545	26	20	653	30
Lack	NA	NA	NA	14	1835	189	12	1416	133	16	1070	87	25	796	48	20	620	31	20	684	31
Lamm	13	2482	256	18	1733	167	16	1356	117	16	987	80	23	830	51	20	565	28	21	689	31
Lampe	13	2685	277	21	1683	156	20	1084	88	22	948	70	29	754	43	22	579	28	19	669	31
Land	14	2910	294	18	1591	153	20	1050	85	20	851	65	24	713	43	21	538	26	21	663	30
lang	NA	NA	NA	20	1679	157	20	1033	84	21	958	72	29	733	42	20	579	29	20	648	30
Lappen	15	3167	315	16	2031	202	16	1402	122	16	1096	89	22	875	54	17	619	32	21	731	33
lassen	NA	NA	NA	16	2099	209	18	1170	98	20	1006	76	26	786	46	20	558	28	19	663	31
Last	NA	NA	NA	10	1841	208	17	1425	121	14	1086	91	24	841	51	18	569	29	20	658	30
Laterne	NA	NA	NA	16	2344	233	17	1544	131	17	1277	102	28	964	56	21	638	31	20	698	32
Laub	NA	NA	NA	14	1970	203	21	1210	97	16	1033	84	26	726	43	21	579	28	20	665	31
laufen	NA	NA	NA	20	1440	135	21	1084	87	18	895	70	29	708	41	21	557	27	20	651	30
laut	NA	NA	NA	22	1386	127	19	1027	84	23	883	64	29	768	44	21	549	27	20	662	30
leben	NA	NA	NA	20	1419	133	21	983	78	21	1025	77	27	733	43	21	585	29	20	645	30
lecker	NA	NA	NA	18	1782	172	21	1153	92	17	925	74	24	722	44	21	561	27	20	668	31
leer	NA	NA	NA	17	1797	176	22	1243	98	20	872	66	26	782	46	19	568	29	20	664	30
legen	NA	NA	NA	22	2204	201	22	1308	103	19	1040	80	30	845	48	19	569	29	20	675	31
Lehrer	12	3315	349	23	2083	188	19	1373	113	21	1025	77	29	730	42	22	544	26	20	683	31
leicht	NA	NA	NA	22	1637	150	18	1134	95	19	998	77	31	735	41	22	560	27	19	663	31
leiden	NA	NA	NA	20	1890	177	17	1508	128	17	1022	81	29	795	46	21	572	28	20	680	31
leihen	NA	NA	NA	16	2558	254	15	1565	138	21	1104	83	30	806	46	21	622	30	20	662	30
Leine	18	3278	311	22	1864	170	18	1599	134	21	1066	80	23	787	48	19	616	31	20	701	32
leise	NA	NA	NA	20	1671	157	20	1113	90	19	1056	81	24	758	46	20	580	29	21	698	32
leisten	NA	NA	NA	20	2559	240	13	1629	150	19	1263	97	27	854	50	20	573	28	20	699	32
Leiter	20	2843	263	21	1748	162	22	1230	97	21	998	75	28	725	42	22	566	27	19	686	32
lernen	NA	NA	NA	21	1837	170	21	1293	103	20	978	74	30	744	42	22	562	27	20	671	31
lesen	NA	NA	NA	18	1678	162	19	1199	99	19	983	76	27	749	44	20	540	27	21	651	30
Leuchtturm	NA	NA	NA	23	2433	220	20	1713	139	23	1428	104	30	950	54	20	648	32	20	794	36
Leute	17	2820	271	17	1516	148	21	1188	95	19	886	68	28	765	44	19	555	28	20	636	29
Lexikon	NA	NA	NA	16	1989	198	20	1376	111	20	1090	83	27	801	47	20	642	32	19	702	33
Licht	15	2843	283	20	1492	140	22	1119	88	20	1012	77	25	696	42	19	564	28	21	642	29
lieb	NA	NA	NA	21	1775	164	19	1133	93	20	1080	82	29	814	47	22	530	26	20	702	32
lieben	NA	NA	NA	17	2181	213	19	1512	125	19	942	73	26	853	50	21	562	28	20	715	33
Lied	16	3038	297	13	1743	183	23	1066	83	19	984	76	26	727	43	21	568	28	21	697	32
liegen	NA	NA	NA	15	1781	180	23	1347	105	15	1102	91	27	782	46	19	560	28	21	698	32
Lippe	14	2890	292	22	1823	167	17	1323	112	19	947	73	28	750	43	20	612	30	20	664	30
Loch	19	2712	254	22	1570	143	19	1056	87	22	988	73	31	750	42	21	584	29	20	657	30
Löffel	12	3523	371	16	1460	145	20	1223	99	21	1017	76	25	757	45	21	571	28	20	674	31
Lohn	NA	NA	NA	11	1879	207	18	1326	111	18	1011	79	25	779	47	21	580	28	20	667	31
Lok	NA	NA	NA	9	1887	219	7	1511	166	9	1013	96	3	837	82	9	645	39	16	883	43
Löwe	14	2110	213	19	1455	138	21	913	73	15	872	72	27	670	39	20	535	27	20	640	29
Luft	16	2697	264	21	1501	139	19	987	81	22	873	64	28	712	41	19	565	28	20	658	30
lustig	NA	NA	NA	22	1878	172	21	1031	83	22	922	68	28	699	40	22	562	27	20	681	31
Mädchen	19	3195	299	19	1714	163	19	1226	101	19	887	68	25	681	41	21	576	28	21	656	30
Mai	11	2403	259	17	1351	132	19	1082	89	21	807	60	26	711	42	21	539	26	21	651	29
malen	NA	NA	NA	19	1592	151	20	1156	94	23	909	66	25	746	45	21	553	27	18	657	31
Mama	19	2361	221	18	1477	142	18	1010	84	19	910	70	25	687	41	21	556	27	21	644	29
Mann	17	2571	247	18	1564	151	21	1008	81	22	838	62	27	710	42	19	558	28	20	637	29
Männlein	12	4668	491	15	2454	248	13	1932	178	20	1441	109	25	964	58	19	639	32	20	734	34
Mantel	NA	NA	NA	17	2150	211	17	1337	114	19	1047	81	26	831	49	19	581	29	21	680	31
Märchen	12	3387	356	17	1893	185	21	1180	94	19	984	76	27	744	43	21	566	28	21	673	31
Margarine	NA	NA	NA	10	2801	316	15	1791	158	18	1462	114	22	931	58	21	658	32	20	693	32
Markt	14	3147	318	17	2136	209	21	1224	98	19	987	76	27	747	44	21	555	27	20	645	30
Marmelade	NA	NA	NA	16	2698	268	14	1539	138	17	1063	85	26	929	55	21	603	30	21	739	34
März	20	2561	237	22	1595	146	18	1076	90	21	927	69	29	706	40	22	529	26	20	661	30
Maschine	18	3766	357	20	2093	196	22	1302	103	21	1158	87	29	805	46	22	558	27	20	695	32
Masse	NA	NA	NA	6	2267	293	12	1326	125	17	1218	97	24	773	47	20	569	28	20	687	32
Material	NA	NA	NA	13	2760	290	20	1652	134	18	1205	94	28	878	51	21	577	28	21	717	32
Matratze	NA	NA	NA	17	2482	243	17	1982	168	15	1434	118	28	919	53	22	604	29	19	716	33
Mauer	16	3677	359	19	1665	158	18	1221	102	20	930	71	28	758	44	20	559	28	19	685	32
Maus	15	2098	209	21	1254	116	22	959	76	20	848	64	26	685	40	21	537	26	20	660	30
Meer	19	2229	209	16	1371	136	21	1007	81	20	844	64	25	662	40	19	559	28	21	670	30
Mehl	16	3061	299	21	1672	155	20	1162	94	20	872	66	29	687	39	21	556	27	20	620	28
meinen	NA	NA	NA	15	2393	242	20	1515	123	20	1290	98	27	800	47	21	606	30	21	714	32
Meise	10	3337	368	15	2011	203	17	1368	116	19	1094	84	23	805	49	16	612	32	20	680	31
Meister	11	3372	363	20	2059	193	20	1237	100	19	1009	78	27	836	49	20	579	29	19	635	30
melden	NA	NA	NA	24	2092	187	17	1451	123	19	1043	80	27	768	45	22	589	29	20	679	31
Menge	10	3323	366	16	2067	205	22	1345	106	18	985	77	26	810	48	20	567	28	20	644	30
Mensch	18	3097	294	23	1685	152	20	1097	89	23	954	70	29	729	42	22	518	25	20	652	30
merken	NA	NA	NA	19	1774	168	20	1248	101	18	1111	87	25	750	45	21	584	29	20	690	32
Merkmal	NA	NA	NA	17	2396	234	15	1685	149	17	1244	99	27	811	47	22	586	28	20	667	31
messen	NA	NA	NA	17	1932	189	19	1499	123	19	1117	86	29	873	50	21	615	30	19	700	33
Messer	16	3261	319	18	1614	155	19	1078	89	21	907	68	28	772	45	21	558	27	21	665	30
Meter	NA	NA	NA	13	2091	220	18	1337	112	20	1023	78	25	815	49	19	574	29	21	650	29
Metzger	NA	NA	NA	9	2398	278	16	1727	150	11	1333	120	19	1023	66	19	643	32	20	734	34
Milch	17	2281	220	19	1384	131	23	1024	80	18	889	70	28	679	39	20	543	27	20	662	30
Milliarde	NA	NA	NA	8	3682	442	6	1745	199	13	1516	130	19	1062	69	18	693	35	21	822	37
Million	8	4150	484	16	2398	238	20	1462	119	18	1353	106	29	842	48	20	591	29	20	749	34
Minister	NA	NA	NA	11	2708	298	12	1926	181	12	1301	114	25	988	59	20	624	31	20	715	33
Minute	13	3522	363	20	2010	188	22	1186	93	18	997	78	27	750	44	20	553	27	21	655	30
Mist	16	2806	274	17	1641	161	21	1142	91	19	1017	78	26	773	46	20	559	28	20	636	29
Mittag	16	3199	313	17	1556	152	23	1064	83	17	985	78	28	706	41	21	535	26	21	635	29
Mitte	17	2870	276	14	1834	189	21	1104	88	18	917	72	28	773	45	21	538	26	21	627	28
Mittwoch	NA	NA	NA	20	1553	146	21	1101	88	21	920	69	27	739	43	21	543	27	21	634	29
Mode	10	3612	398	19	1772	168	17	1308	111	20	1026	78	26	770	46	20	554	27	20	648	30
Moment	NA	NA	NA	17	2004	196	20	1382	112	19	974	75	25	797	48	20	564	28	21	652	30
Monat	18	3008	285	24	1863	166	21	1200	96	19	964	74	28	721	42	21	533	26	19	650	30
Mond	18	2868	272	23	1401	127	22	1103	87	19	868	67	29	697	40	22	520	25	20	631	29
Monitor	10	4424	488	18	2585	249	13	1571	145	13	1477	127	25	1020	61	21	608	30	19	740	34
Montag	18	3019	286	18	1454	140	20	1097	89	16	1014	82	28	704	41	21	549	27	21	639	29
Morgen	20	2925	270	20	1455	136	20	1120	91	18	844	66	27	666	39	21	541	27	19	658	31
Motor	11	3386	364	19	1821	173	20	1252	102	18	941	74	26	805	48	21	544	27	21	673	30
Möwe	15	3066	305	21	1752	162	18	1458	122	20	1077	82	30	860	49	21	555	27	20	649	30
Mücke	17	2900	279	21	1877	174	20	1283	104	20	986	75	29	757	43	20	576	29	20	638	29
müde	NA	NA	NA	18	1586	153	21	1101	88	20	920	70	26	740	44	21	530	26	20	655	30
Mühe	11	3540	381	19	2045	194	23	1394	108	20	943	72	27	816	48	20	552	27	20	645	30
Müll	9	3327	377	19	1601	152	20	1037	84	20	862	65	27	671	39	21	560	27	21	641	29
Mund	20	3091	285	22	1487	136	20	999	81	20	876	67	28	700	40	22	530	26	20	610	28
Musik	19	2689	252	23	1330	120	23	936	73	20	792	60	29	675	39	22	533	26	20	616	28
Musiker	18	3761	357	19	2299	218	19	1494	123	19	1190	92	26	834	49	21	572	28	20	701	32
Mut	NA	NA	NA	21	1365	126	20	1066	86	19	899	69	26	733	43	22	541	26	20	659	30
Mutter	17	2836	273	22	1372	125	23	1032	80	21	880	66	30	691	39	22	542	26	20	624	29
Mütze	12	2989	314	20	1555	146	19	1082	89	23	987	72	29	704	40	21	554	27	20	667	31
Nachbar	10	3986	439	20	2090	196	21	1309	105	16	953	77	27	733	43	21	590	29	20	653	30
Nachmittag	NA	NA	NA	21	2140	198	20	1586	128	19	970	75	27	754	44	21	564	28	21	673	31
Nacht	21	2697	246	20	1490	140	21	1023	82	22	861	64	28	714	41	21	549	27	21	608	28
Nachtisch	NA	NA	NA	21	2384	221	23	1716	134	18	1241	97	29	879	50	22	661	32	20	834	38
nackt	NA	NA	NA	13	2076	218	16	1427	124	19	1164	90	27	804	47	21	548	27	20	677	31
Nagel	17	2728	263	18	1824	176	21	1137	91	19	992	77	27	709	41	19	532	27	20	650	30
Name	22	2105	190	20	1316	123	20	1126	91	23	973	71	29	721	41	21	532	26	20	664	30
Nase	20	2315	214	21	1378	127	21	1047	84	21	895	67	28	676	39	21	544	27	20	657	30
nass	NA	NA	NA	16	1470	146	19	1183	98	20	953	72	24	798	48	17	572	30	21	702	32
Natur	14	3070	311	22	1638	150	22	1070	85	19	949	73	26	694	41	21	537	26	20	677	31
Nebel	12	3531	372	20	1761	165	22	1257	99	18	1005	79	29	763	44	21	562	28	20	685	31
nehmen	NA	NA	NA	17	1907	186	19	1281	105	18	1076	84	26	764	45	21	558	27	21	674	31
nennen	NA	NA	NA	18	2131	205	18	1304	109	15	1028	85	20	831	53	21	582	28	20	724	33
Nest	14	2197	222	20	1398	131	23	1048	82	20	886	67	29	740	42	19	569	29	20	665	31
nett	NA	NA	NA	21	1229	114	21	1017	81	18	890	70	25	701	42	20	541	27	21	702	32
neu	NA	NA	NA	20	1336	125	21	934	75	22	852	63	27	726	42	21	545	27	21	618	28
niedlich	NA	NA	NA	18	2385	230	17	1473	125	18	1205	94	25	838	50	20	604	30	19	723	34
normal	NA	NA	NA	17	1882	184	21	1231	99	19	884	68	26	711	42	21	569	28	21	639	29
Not	11	2410	259	23	1475	133	13	1098	101	14	913	77	23	804	49	21	526	26	19	668	31
Note	12	2841	299	20	1756	165	17	1163	99	20	918	70	29	769	44	21	555	27	20	671	31
November	NA	NA	NA	17	1761	172	20	1172	95	21	1065	80	26	752	44	21	566	28	21	646	29
Nummer	12	3242	341	18	1685	162	22	1151	91	20	950	72	25	703	42	19	565	28	21	663	30
Obst	14	2799	283	18	1332	128	21	1022	82	19	859	66	28	685	40	21	540	26	20	628	29
Obstbaum	NA	NA	NA	17	2763	270	17	1868	159	18	1293	101	26	839	50	20	632	31	21	739	34
Ofen	16	2411	236	21	1409	130	19	1153	95	16	1094	89	26	831	49	20	561	28	20	701	32
offen	NA	NA	NA	21	1580	146	19	1251	103	18	981	77	26	687	41	21	577	28	20	648	30
öffnen	NA	NA	NA	15	1978	200	21	1268	102	21	903	68	27	782	46	21	540	26	21	672	30
Ohr	11	2591	279	18	1521	147	18	1162	97	21	865	65	26	673	40	21	564	28	20	622	29
Oktober	NA	NA	NA	19	1804	171	20	1176	95	17	924	74	28	756	44	21	522	26	21	665	30
Olive	14	3275	331	23	1896	171	17	1615	138	19	1178	91	26	849	50	21	565	28	20	712	33
Oma	17	2307	222	19	1149	109	21	919	74	20	814	62	27	713	42	21	524	26	21	658	30
Onkel	11	3244	349	16	1737	173	20	1152	94	21	1003	75	27	737	43	21	565	28	21	636	29
Opa	18	2241	213	19	1355	129	21	1097	88	21	853	64	27	718	42	21	532	26	20	642	29
ordentlich	NA	NA	NA	22	2629	240	16	1605	139	20	1469	112	30	939	53	20	638	32	20	748	34
Ordnung	12	4324	455	23	2319	209	18	1297	108	19	1138	88	29	779	45	22	551	27	19	675	31
Ort	17	2560	246	22	1811	165	19	1181	97	17	863	69	27	754	44	21	537	26	20	665	31
Osten	4	3665	504	14	1810	186	13	1285	118	13	1164	100	24	827	50	21	584	29	20	703	32
Osterhase	NA	NA	NA	18	1940	187	22	1399	110	20	1192	91	28	892	52	21	616	30	21	741	34
packen	NA	NA	NA	18	2033	196	21	1160	93	20	1083	82	27	791	46	20	568	28	20	678	31
Paket	NA	NA	NA	19	2046	194	17	1431	122	16	1069	86	26	773	46	19	556	28	21	658	30
Panda	15	3806	378	14	2037	210	18	1376	115	14	1017	86	28	838	48	15	622	33	16	800	39
Pantoffel	NA	NA	NA	14	2667	275	19	1692	139	18	1263	99	23	1036	63	19	629	32	19	727	34
Papa	16	2491	243	25	1379	122	23	989	77	21	860	64	29	708	41	22	539	26	20	640	29
Papagei	NA	NA	NA	22	2146	196	21	1334	106	18	1155	90	28	826	48	20	645	32	20	689	32
Papier	16	3277	320	22	1715	157	23	1158	90	20	886	67	27	697	41	22	553	27	20	689	32
Pappe	NA	NA	NA	17	1846	181	22	1259	99	20	1069	81	24	832	50	21	582	29	19	667	31
passen	NA	NA	NA	17	1703	167	20	1202	98	20	1071	81	25	742	44	21	570	28	20	694	32
Pause	19	2323	217	23	1422	128	19	1067	88	19	842	65	29	682	39	22	523	25	20	651	30
Pech	12	3209	338	18	1787	172	21	1120	90	17	929	74	24	696	42	19	575	29	20	682	31
Pelikan	NA	NA	NA	18	2115	204	17	1546	132	19	1304	101	23	953	58	14	665	36	18	793	37
Person	10	3423	377	14	1871	193	21	1215	97	18	1045	82	27	773	45	21	551	27	20	652	30
Pfanne	16	3607	352	17	2206	216	21	1231	99	18	989	77	27	763	45	21	567	28	21	627	28
Pferd	15	2919	290	23	1609	145	18	966	81	20	810	62	30	697	40	22	542	26	20	619	28
pflanzen	NA	NA	NA	19	2020	192	20	1215	99	19	953	73	28	760	44	21	557	27	21	652	30
Pflaster	NA	NA	NA	20	2599	243	20	1529	124	23	1210	88	27	805	47	22	584	28	20	685	31
pflegen	NA	NA	NA	16	2381	237	19	1461	120	18	1059	83	28	831	48	21	554	27	20	669	31
pflücken	NA	NA	NA	17	2408	235	19	1296	106	21	1169	88	25	901	54	20	672	33	19	683	32
Pilz	16	2750	269	23	1835	166	21	1203	96	19	914	70	28	748	43	22	582	28	20	647	30
Pinguin	13	3694	381	18	1853	178	22	1351	107	19	982	76	28	776	45	21	621	30	19	767	36
Pinsel	20	3293	304	23	1853	167	18	1291	108	19	1016	78	30	728	41	21	609	30	20	679	31
Pirat	14	3143	318	18	1723	166	20	1111	90	20	970	74	24	761	46	20	557	28	21	667	30
Pistole	NA	NA	NA	19	2100	199	17	1422	121	21	1214	91	27	788	46	20	582	29	18	670	32
Plan	11	3036	327	22	1708	156	17	1294	110	21	1000	75	27	727	42	19	542	27	20	691	32
Planet	11	4188	451	19	2043	194	20	1384	112	18	1004	79	27	788	46	20	562	28	20	697	32
Platz	20	3367	311	18	1607	155	23	1278	99	18	891	70	27	730	43	21	539	26	20	638	29
Polizist	NA	NA	NA	22	2392	219	17	1276	108	19	1131	87	30	823	47	22	615	30	18	689	32
Pony	13	3214	331	20	1370	128	20	1041	85	18	931	73	26	737	44	19	590	30	19	705	33
Post	14	2106	213	21	1297	120	20	1059	86	22	1063	78	29	702	40	19	556	28	20	646	30
Postfach	NA	NA	NA	16	2716	270	14	1440	130	21	1173	88	26	840	50	21	593	29	21	696	32
praktisch	NA	NA	NA	17	2464	241	19	1649	136	17	1313	105	26	939	55	20	639	32	21	711	32
Präsident	NA	NA	NA	16	2888	287	17	1719	146	15	1195	99	28	871	50	21	587	29	20	695	32
Prediger	NA	NA	NA	4	1912	274	5	1874	225	4	1467	169	13	1095	79	17	632	33	20	724	33
Preis	12	2964	312	18	1711	165	21	1224	98	19	1092	84	28	721	42	21	548	27	20	626	29
Prinz	13	3047	314	19	1610	153	22	1207	95	19	952	73	27	772	45	21	557	27	19	654	30
probieren	NA	NA	NA	20	2151	202	19	1535	127	23	1118	81	30	817	46	21	617	30	20	731	34
Problem	NA	NA	NA	15	2202	223	19	1395	115	18	1019	80	27	768	45	21	555	27	20	679	31
Professor	NA	NA	NA	19	2529	240	19	1539	126	21	1262	94	27	865	51	22	614	30	20	690	32
Programm	NA	NA	NA	16	2276	226	22	1337	106	21	1003	75	26	776	46	21	565	28	20	673	31
Publikum	NA	NA	NA	13	2659	279	19	1731	143	16	1164	94	27	867	51	21	626	31	20	709	33
Punkt	15	3507	348	23	1792	162	19	1192	98	20	989	75	30	787	45	20	556	28	20	667	31
Puppe	18	2919	277	22	1675	153	19	1131	93	19	994	77	29	724	41	20	535	27	19	672	31
pusten	NA	NA	NA	15	2223	225	18	1350	113	17	1080	86	25	790	47	19	587	30	20	753	35
putzen	NA	NA	NA	16	1908	190	18	1239	104	20	1023	78	28	750	43	21	578	28	20	685	31
Quadrat	NA	NA	NA	21	2145	198	20	1581	128	19	1304	101	25	918	55	21	619	30	20	752	35
Qualm	12	3378	355	15	2291	232	14	1801	162	17	1327	106	21	889	56	19	641	32	19	728	34
Quark	13	3471	358	22	2046	187	15	1322	117	19	1065	82	27	792	46	21	549	27	20	735	34
Quatsch	17	4065	391	21	2189	202	18	1530	128	18	1221	96	28	856	49	21	577	28	20	710	33
Rad	16	2639	258	23	1289	116	23	1037	81	18	803	63	29	745	43	22	530	26	20	664	30
Radio	16	3602	352	22	1720	157	21	1134	90	21	868	65	30	707	40	22	569	28	20	644	30
Rakete	14	3557	360	19	2077	197	16	1470	127	19	1243	96	26	901	53	21	594	29	20	696	32
Rand	17	3057	294	16	1652	164	17	1276	109	20	931	71	28	808	47	19	575	29	20	673	31
Ranzen	19	3273	306	20	1942	182	18	1416	119	15	1319	109	18	865	57	16	743	39	19	742	35
rasch	NA	NA	NA	11	1945	214	11	1300	126	12	1184	104	20	897	57	19	607	31	20	687	32
Rasen	13	2901	299	19	1777	169	16	1308	113	20	1238	94	29	821	47	21	621	30	20	687	32
Rat	20	2376	219	14	1449	149	15	1122	99	11	1209	109	20	873	56	19	612	31	21	672	30
raten	NA	NA	NA	16	1680	167	19	1390	115	19	1048	81	21	910	57	21	581	28	20	701	32
Ratte	16	3106	304	22	1820	166	20	1290	105	17	936	74	27	731	43	21	549	27	18	653	31
Raum	20	2606	241	20	1454	136	18	1182	99	17	968	77	27	727	43	20	555	28	21	608	28
Raupe	11	2761	297	17	1797	176	22	1181	93	19	991	76	26	784	46	18	575	29	21	688	31
rechnen	NA	NA	NA	15	1937	196	20	1230	100	20	970	74	28	772	45	20	551	27	21	705	32
reden	NA	NA	NA	17	1764	173	21	1112	89	18	937	73	27	718	42	20	535	27	19	644	30
Regal	15	3025	301	21	1942	180	22	1263	100	20	989	75	30	829	47	21	533	26	20	674	31
Regen	15	3207	319	20	1453	136	20	1071	87	18	879	69	28	713	41	20	567	28	21	644	29
Reh	18	2649	251	20	1493	140	22	1027	81	17	903	72	28	749	43	20	565	28	20	646	30
reich	NA	NA	NA	18	1964	189	19	1203	99	21	982	73	28	752	43	20	581	29	21	650	29
Reihe	17	3459	333	20	1862	174	22	1326	104	17	1128	90	26	833	49	19	547	28	21	644	29
Reis	16	2522	247	16	1587	158	22	1006	79	20	893	68	29	731	42	22	514	25	20	673	31
Reise	20	3453	319	17	1605	157	19	1235	101	18	1115	87	28	697	40	20	540	27	20	658	30
retten	NA	NA	NA	21	1939	179	20	1169	95	23	1130	82	29	763	44	21	577	28	20	665	31
richtig	NA	NA	NA	23	1744	158	21	1213	97	21	1004	75	27	677	40	22	531	26	19	657	31
riechen	NA	NA	NA	17	1993	195	20	1426	116	19	1192	92	25	799	48	20	599	30	20	761	35
Riese	NA	NA	NA	15	1680	170	20	1197	97	20	1061	81	27	827	48	20	606	30	20	650	30
Ring	15	2589	257	21	1656	153	19	1100	91	20	876	66	24	706	43	20	554	27	21	632	29
Ritter	18	2772	263	23	1482	134	20	1028	83	20	900	68	31	750	42	20	557	28	20	667	31
Ritual	NA	NA	NA	12	2626	282	10	1705	169	7	1371	139	16	985	67	21	618	30	19	730	34
Robbe	12	3565	375	15	1874	189	15	1274	112	17	1172	93	26	878	52	17	613	32	21	724	33
Rock	11	2554	275	19	1431	136	14	1287	116	20	1018	77	29	714	41	21	579	28	20	647	30
rollen	NA	NA	NA	25	1840	163	18	1259	105	22	1082	80	29	806	46	21	594	29	20	685	31
Rose	12	2284	240	21	1435	133	17	1164	99	22	943	70	29	731	42	22	571	28	20	643	30
rot	NA	NA	NA	18	1257	121	22	1046	83	21	848	64	28	673	39	19	548	28	20	697	32
Rücken	20	2995	277	20	1916	180	21	1318	106	19	985	76	28	748	43	21	552	27	19	648	30
Rücksicht	NA	NA	NA	21	2825	261	19	1966	162	23	1279	93	29	857	49	21	600	29	19	687	32
rufen	NA	NA	NA	21	1605	148	21	1233	99	21	908	68	27	780	46	21	565	28	18	680	32
Ruhe	12	3369	355	21	1620	150	20	1152	94	22	970	72	27	708	41	19	528	27	20	644	30
ruhig	NA	NA	NA	19	2047	194	17	1237	105	23	972	71	30	805	46	22	564	27	20	658	30
rühren	NA	NA	NA	19	2410	229	19	1917	157	19	1106	85	26	927	55	21	593	29	20	709	33
Rum	NA	NA	NA	4	2010	288	9	1298	133	6	982	103	8	942	76	16	596	31	18	707	33
rund	NA	NA	NA	19	1755	167	18	1247	104	18	960	75	29	739	42	19	592	30	20	717	33
rutschen	NA	NA	NA	17	2102	206	18	1341	112	17	1137	91	27	815	48	19	638	32	20	721	33
Sache	12	3169	333	22	1808	165	22	1326	105	21	991	74	28	779	45	21	541	27	20	632	29
Sack	13	2349	242	18	1574	152	20	1207	98	20	924	70	26	788	47	19	569	29	20	668	31
Saft	16	2575	252	19	1612	153	20	1119	91	20	935	71	28	785	45	20	539	27	21	676	31
sagen	NA	NA	NA	18	1610	155	20	1102	89	21	918	69	28	717	41	21	590	29	20	700	32
Salat	20	3307	306	21	1750	162	19	1171	96	20	958	73	30	726	41	20	550	27	20	689	32
Salz	NA	NA	NA	21	1871	173	18	1109	93	23	1024	75	30	657	37	22	519	25	20	668	31
Samen	NA	NA	NA	11	1904	209	10	1401	139	11	1108	100	20	799	51	17	624	32	20	700	32
sammeln	NA	NA	NA	18	2016	194	19	1482	122	20	1179	90	28	804	47	21	555	27	20	713	33
Samstag	16	3634	355	20	1803	169	19	1250	103	22	972	72	29	723	41	22	526	25	20	701	32
Sand	19	2417	226	21	1516	140	22	1044	82	18	873	68	30	760	43	21	553	27	20	653	30
satt	NA	NA	NA	17	1880	184	14	1301	117	17	1025	82	18	901	59	20	560	28	19	697	32
Satz	12	3555	374	20	2288	214	18	1326	111	21	1012	76	30	841	48	20	575	29	20	685	31
Sau	7	2672	322	14	1762	182	15	1281	113	12	1169	103	17	869	58	21	577	28	21	675	31
sauber	NA	NA	NA	19	1957	186	15	1416	125	18	1137	89	28	746	43	22	551	27	20	661	30
Schachtel	17	3821	368	19	2794	265	16	1604	139	17	1285	102	26	952	56	19	604	30	21	703	32
Schaf	16	2864	280	26	1661	145	22	1062	84	21	1049	79	25	785	47	21	579	28	20	652	30
schaffen	NA	NA	NA	24	2186	195	15	1366	120	18	1168	91	28	829	48	20	551	27	20	694	32
Schal	NA	NA	NA	16	1593	158	17	1204	102	16	1074	87	24	928	56	21	586	29	20	685	31
scharf	NA	NA	NA	20	2141	201	22	1346	106	19	1167	90	29	782	45	21	602	29	20	702	32
Schatten	15	3200	318	20	1992	187	17	1213	103	17	1147	91	26	853	50	21	624	31	18	678	32
Schatz	18	3112	295	21	1770	164	22	1238	98	21	876	66	26	666	39	20	543	27	20	654	30
schauen	NA	NA	NA	22	1960	179	21	1306	105	21	958	72	30	795	45	19	556	28	19	705	33
Schaufel	14	3092	313	23	1883	170	22	1356	107	21	1013	76	26	745	44	18	588	30	20	691	32
Schaukel	19	3126	293	21	1949	180	21	1326	106	22	1078	80	29	845	48	21	566	28	19	668	31
Schaum	13	2927	302	20	1934	181	23	1260	98	20	1140	87	27	790	46	22	618	30	20	663	30
Scheibe	19	3334	312	17	2204	216	22	1378	109	21	1217	91	26	828	49	21	559	27	21	700	32
schenken	NA	NA	NA	20	2111	198	21	1436	115	23	1014	74	31	853	48	22	593	29	20	680	31
Schere	15	3375	336	19	1685	160	20	1277	104	21	1005	75	30	774	44	21	625	31	20	737	34
schicken	NA	NA	NA	15	2282	231	19	1672	137	18	1073	84	25	784	47	21	542	27	21	737	33
schieben	NA	NA	NA	17	2182	213	21	1268	101	19	1125	87	26	817	48	21	568	28	19	714	33
