word	on.g1.n	on.g1.m	on.g1.se	on.g2.n	on.g2.m	on.g2.se	on.g3.n	on.g3.m	on.g3.se	on.g4.n	on.g4.m	on.g4.se	on.g6.n	on.g6.m	on.g6.se	on.ya.n	on.ya.m	on.ya.se	on.oa.n	on.oa.m	on.oa.se
legen	NA	NA	NA	15	920	85	19	746	49	10	653	50	20	552	32	21	375	14	17	477	24
Lehrer	14	1125	96	14	1024	104	20	794	51	8	725	57	19	600	34	21	398	15	16	472	24
leicht	NA	NA	NA	12	974	95	21	700	45	12	679	55	19	557	32	21	392	15	18	464	23
leiden	NA	NA	NA	15	979	92	18	753	48	11	685	55	20	546	31	20	394	15	17	462	23
leihen	NA	NA	NA	9	1096	109	22	830	59	13	723	57	18	550	32	22	399	15	18	469	24
Leine	15	1050	78	8	1004	96	18	809	53	13	716	57	17	573	33	13	401	15	17	468	24
leise	NA	NA	NA	10	1018	92	17	715	46	11	678	54	14	577	33	19	389	15	18	445	22
leisten	NA	NA	NA	13	1183	113	10	825	56	10	777	66	20	606	35	16	387	15	19	467	24
Leiter	17	1145	87	8	946	89	19	757	49	8	709	54	17	558	32	20	390	15	18	459	23
lernen	NA	NA	NA	10	968	89	22	725	47	9	671	51	14	529	30	21	401	15	17	464	23
lesen	NA	NA	NA	11	872	83	22	689	43	13	605	45	19	547	31	20	390	15	18	458	23
Leuchtturm	NA	NA	NA	11	1174	112	17	899	60	10	796	63	20	635	36	21	420	16	18	494	25
Leute	12	1110	84	10	927	94	21	735	48	10	624	52	18	549	32	21	394	15	18	480	24
Lexikon	NA	NA	NA	16	1074	104	19	827	53	11	805	64	20	628	36	21	404	15	18	483	24
Licht	18	1042	81	13	928	83	20	687	45	9	659	52	17	527	30	21	372	14	18	464	23
lieb	NA	NA	NA	14	940	93	22	721	50	9	668	53	19	588	34	21	389	15	17	474	24
lieben	NA	NA	NA	14	1126	112	22	820	52	9	757	65	18	577	33	21	400	15	18	463	23
Lied	8	993	77	7	951	91	11	691	44	9	621	46	18	560	33	11	393	15	13	463	23
liegen	NA	NA	NA	13	1069	97	19	768	50	10	700	52	19	565	32	22	396	15	19	462	23
Lippe	9	1127	85	15	905	81	18	787	51	11	683	55	19	605	35	22	395	15	19	468	24
Loch	18	1042	80	5	938	95	15	695	46	8	665	52	17	550	31	21	387	15	18	456	23
Löffel	18	1199	94	15	970	94	20	748	49	11	693	56	17	577	34	20	389	15	19	471	24
Lohn	NA	NA	NA	12	1045	100	21	723	46	11	672	51	20	569	33	21	399	15	19	469	24
Lok	NA	NA	NA	12	922	90	22	729	50	13	673	54	19	563	33	22	385	15	17	451	23
Löwe	16	973	76	14	809	72	21	657	41	11	634	47	19	532	31	21	378	14	18	469	23
Luft	13	1055	78	14	952	92	21	684	45	11	690	57	18	559	32	20	394	15	18	472	24
lustig	NA	NA	NA	15	921	91	20	686	45	10	628	50	20	538	31	22	387	15	18	477	24
Mädchen	11	1166	93	13	986	96	21	711	45	8	689	51	19	580	34	21	377	14	18	472	24
Mai	18	1027	77	12	899	84	20	684	44	12	690	54	18	544	31	21	383	14	17	460	23
malen	NA	NA	NA	14	913	82	19	724	47	10	630	49	18	533	30	20	391	15	18	495	25
Mama	15	1074	80	10	894	84	22	663	42	13	614	46	18	540	32	22	376	14	19	489	24
Mann	18	985	75	9	839	75	20	620	41	10	627	49	19	531	30	22	389	15	18	464	23
Männlein	18	1320	102	11	1070	99	21	1049	74	9	872	74	18	633	36	21	426	16	18	491	25
Mantel	NA	NA	NA	8	977	99	17	743	49	10	669	53	20	572	33	20	379	14	18	467	24
Märchen	17	1222	98	12	953	94	21	732	47	12	691	55	18	561	33	21	378	14	19	488	24
Margarine	NA	NA	NA	12	1094	114	19	887	59	10	821	70	17	627	37	20	409	16	18	472	24
Markt	17	1031	80	15	938	85	20	742	48	9	640	50	19	543	31	21	382	14	18	479	24
Marmelade	NA	NA	NA	13	1256	127	19	940	60	12	823	62	19	644	37	20	401	15	18	462	23
März	19	1080	84	15	962	95	22	694	45	8	640	51	19	561	32	21	392	15	18	460	23
Maschine	18	1288	96	13	1097	105	20	778	51	11	638	49	20	538	31	22	393	15	18	444	22
Masse	NA	NA	NA	10	932	86	18	775	53	12	673	50	18	580	34	21	381	15	18	479	24
Material	NA	NA	NA	8	1148	116	19	826	55	9	722	57	19	607	36	20	407	15	17	477	24
Matratze	NA	NA	NA	10	1061	108	19	921	63	11	860	76	19	636	37	21	398	15	18	471	24
Mauer	9	1166	92	12	950	94	17	727	47	8	656	53	19	576	33	21	399	15	17	466	24
Maus	11	1092	83	14	850	78	19	664	43	11	612	46	19	562	33	21	380	14	17	468	24
Meer	14	984	72	10	851	83	20	658	43	9	586	47	20	550	32	18	389	15	16	463	23
Mehl	11	1164	93	9	914	84	21	704	48	9	643	49	19	533	31	20	397	15	19	472	24
meinen	NA	NA	NA	10	974	91	22	734	47	12	657	53	18	571	33	22	389	15	19	481	24
Meise	16	1028	77	7	960	95	17	714	47	9	742	59	18	567	33	21	386	15	17	479	24
Meister	11	1077	84	6	1003	97	10	757	48	7	684	51	14	545	32	20	405	15	17	483	24
melden	NA	NA	NA	13	999	92	21	749	47	12	721	58	19	545	31	21	401	15	18	485	25
Menge	15	1082	87	16	1021	94	19	760	50	11	652	52	20	560	32	22	375	14	18	452	23
Mensch	8	1116	82	9	890	83	20	658	43	10	692	55	19	551	31	19	384	14	17	466	24
merken	NA	NA	NA	13	971	88	19	743	47	10	694	52	19	578	33	20	392	15	18	460	23
Merkmal	NA	NA	NA	9	1032	107	18	851	59	7	760	63	16	562	32	20	401	15	19	488	25
messen	NA	NA	NA	10	1110	113	20	812	53	9	717	61	20	557	32	21	389	15	18	473	24
Messer	15	1185	97	9	940	84	21	705	47	9	614	47	20	507	29	21	398	15	18	471	24
Meter	NA	NA	NA	7	1014	97	18	719	50	8	656	51	15	586	34	19	387	15	19	463	23
Metzger	NA	NA	NA	9	1166	113	18	894	63	10	820	66	17	616	36	22	405	15	19	507	26
Milch	15	1017	77	12	953	85	20	667	42	11	629	47	19	545	31	21	386	14	18	459	23
Milliarde	NA	NA	NA	13	1216	130	15	986	73	10	866	76	18	706	43	22	416	16	19	521	26
Million	17	1237	103	9	1099	107	19	827	57	9	711	54	19	561	33	21	402	15	17	479	25
Minister	NA	NA	NA	11	1080	105	17	985	68	9	856	71	18	665	39	21	412	15	18	450	23
Minute	15	1103	83	13	1006	93	21	789	51	11	694	55	18	557	32	21	378	14	18	486	24
Mist	13	1059	79	11	888	79	20	763	49	7	622	48	18	536	30	18	379	14	18	477	24
Mittag	13	1101	87	12	976	90	20	716	45	11	635	47	18	558	32	22	388	14	18	462	23
Mitte	14	1134	85	15	981	102	20	743	48	12	657	53	18	538	32	20	383	14	18	488	25
Mittwoch	NA	NA	NA	10	989	90	22	678	45	8	624	48	19	540	31	21	390	15	19	459	23
Mode	15	1113	95	8	1000	95	20	750	50	10	645	53	19	562	32	20	392	15	18	477	25
Moment	NA	NA	NA	14	979	99	19	800	51	11	726	57	19	595	34	21	390	15	19	472	24
Monat	18	1113	89	8	929	90	22	759	49	9	663	51	19	547	32	22	406	15	18	486	25
Mond	15	1056	83	12	889	82	19	726	49	10	667	52	19	569	33	21	406	15	18	474	24
Monitor	14	1045	79	11	1078	107	23	956	64	13	803	67	19	620	36	20	420	16	18	480	25
Montag	17	1098	85	9	973	94	22	686	43	8	596	44	17	525	31	21	414	15	19	489	24
Morgen	13	1075	81	10	939	85	22	690	44	10	636	47	18	538	31	21	394	15	19	443	22
Motor	10	1061	87	13	894	89	20	746	47	12	666	54	19	542	31	20	391	15	17	473	24
Möwe	17	1297	96	10	1135	113	20	889	58	13	686	54	18	560	32	22	394	15	19	467	24
Mücke	13	1200	89	12	1049	104	19	758	51	11	721	57	19	563	32	21	399	15	18	474	24
müde	NA	NA	NA	10	909	88	21	721	47	9	638	52	18	534	31	22	395	15	19	464	24
Mühe	12	1186	106	11	1015	94	20	778	55	13	649	50	20	542	31	22	413	16	19	483	25
Müll	15	1136	99	12	983	108	20	682	45	12	640	52	19	552	32	21	401	15	18	486	24
Mund	16	986	73	8	922	84	22	648	43	13	696	53	19	558	32	22	407	15	19	499	25
Musik	15	1027	76	8	898	84	17	634	41	10	658	51	20	539	31	19	405	15	18	471	24
Musiker	10	1143	85	9	1039	93	20	839	59	9	746	58	18	599	34	22	399	15	18	473	24
Mut	NA	NA	NA	12	866	83	19	656	43	12	631	51	18	555	32	21	394	15	17	477	24
Mutter	10	1130	86	10	861	81	22	703	45	9	656	51	19	557	32	21	393	15	17	479	24
Mütze	14	1036	83	9	904	94	20	703	46	9	688	54	20	569	32	21	399	15	18	456	23
Nachbar	17	1174	98	10	1027	92	19	724	48	5	703	54	17	562	32	21	389	15	18	473	24
Nachmittag	NA	NA	NA	5	1143	111	17	893	57	10	755	56	18	610	35	21	408	16	18	492	25
Nacht	13	1025	76	10	909	88	21	686	44	8	649	51	19	572	33	21	377	14	17	484	24
Nachtisch	NA	NA	NA	10	1090	108	19	960	64	9	809	61	20	629	38	21	409	16	18	509	26
nackt	NA	NA	NA	10	1023	101	18	769	49	10	642	52	18	566	33	21	391	15	18	472	24
Nagel	13	1085	84	14	941	83	19	719	45	10	684	52	20	565	32	21	395	15	18	496	25
Name	17	1017	76	6	771	72	19	654	44	10	651	51	20	534	30	21	397	15	18	464	23
Nase	12	930	69	13	838	83	21	665	43	11	644	51	18	548	31	21	393	15	17	457	23
nass	NA	NA	NA	10	945	92	21	667	43	10	612	51	19	526	31	21	381	14	18	480	24
Natur	17	1085	89	7	938	85	16	697	45	10	624	48	19	527	31	21	391	15	18	476	24
Nebel	17	1088	82	8	919	83	19	790	52	11	679	52	20	546	32	19	396	15	17	484	25
nehmen	NA	NA	NA	8	965	94	16	773	48	6	637	47	11	554	32	13	393	15	13	466	24
nennen	NA	NA	NA	10	1028	96	19	807	52	9	752	56	20	581	33	20	387	15	18	497	25
Nest	16	1070	81	8	890	83	22	689	45	13	622	47	19	519	30	20	401	15	19	457	23
nett	NA	NA	NA	12	880	80	21	674	44	12	611	47	19	510	29	20	380	14	18	469	24
neu	NA	NA	NA	14	862	76	21	679	45	11	624	48	20	534	30	21	395	15	18	467	24
niedlich	NA	NA	NA	13	1069	104	21	896	57	9	755	58	19	613	36	21	409	15	19	514	26
normal	NA	NA	NA	9	990	89	18	761	50	9	699	55	19	539	31	20	388	15	17	475	24
Not	16	967	71	10	860	78	19	693	45	10	600	50	20	557	32	21	405	15	18	488	25
Note	16	1082	80	12	858	80	17	708	46	12	637	48	20	522	30	22	407	15	19	499	25
November	NA	NA	NA	13	998	95	20	792	51	11	712	58	20	599	35	21	399	15	19	482	24
Nummer	12	1159	85	9	946	85	20	747	50	10	683	53	20	556	32	21	398	15	18	479	24
Obst	16	1063	92	13	891	88	18	729	46	12	693	52	19	557	32	21	397	15	18	463	23
Obstbaum	NA	NA	NA	13	1214	123	20	985	66	9	813	61	19	683	40	21	428	18	18	490	25
Ofen	13	1082	90	9	1030	100	18	731	49	9	748	58	19	640	39	20	410	16	15	465	23
offen	NA	NA	NA	11	1036	96	22	744	58	13	647	51	19	619	35	20	399	16	18	462	23
öffnen	NA	NA	NA	9	1064	108	18	827	55	9	681	56	18	610	36	19	402	15	19	458	23
Ohr	10	1111	88	13	937	91	18	703	45	12	666	54	17	572	35	20	402	15	17	482	25
Oktober	NA	NA	NA	10	995	95	22	849	54	8	726	54	19	561	32	21	428	16	18	474	24
Olive	12	1101	92	10	1033	99	22	833	57	12	785	62	18	585	33	22	403	15	19	498	25
Oma	16	1074	82	14	875	85	21	700	45	12	641	51	19	569	33	21	392	15	18	473	24
Onkel	16	1245	104	10	934	91	20	719	46	9	694	56	19	580	33	21	398	15	18	465	23
Opa	15	995	77	16	913	81	19	654	43	11	663	51	20	578	33	20	408	15	19	483	24
ordentlich	NA	NA	NA	14	1198	110	20	946	61	12	846	68	18	676	40	21	430	16	17	506	26
Ordnung	12	1205	107	14	1037	94	20	818	52	9	782	63	19	573	33	20	397	15	18	479	24
Ort	14	1101	82	8	949	86	19	753	48	10	680	55	18	546	32	21	396	15	18	472	24
Osten	16	1212	97	12	1047	109	15	882	67	9	723	58	18	626	36	22	434	19	19	478	26
Osterhase	NA	NA	NA	10	1201	111	19	924	61	10	836	66	18	657	38	20	425	16	18	500	25
packen	NA	NA	NA	14	972	87	21	749	50	12	620	48	19	553	32	21	396	15	17	463	23
Paket	NA	NA	NA	13	935	103	21	747	52	13	695	58	19	557	33	22	373	14	18	468	24
Panda	14	1252	97	12	1026	92	17	883	58	9	659	51	20	579	34	22	406	15	19	464	23
Pantoffel	NA	NA	NA	9	1258	118	19	982	63	9	791	61	19	703	40	21	427	16	19	463	23
Papa	13	1044	81	13	869	80	18	717	48	11	652	49	19	529	30	21	391	15	19	457	23
Papagei	NA	NA	NA	13	959	90	20	800	51	12	785	58	19	599	34	21	411	15	18	490	25
Papier	13	1383	104	11	954	87	18	702	45	7	650	50	19	537	31	20	400	15	18	467	24
Pappe	NA	NA	NA	14	1109	101	19	863	56	10	737	57	19	571	33	22	404	15	18	478	24
passen	NA	NA	NA	13	986	88	21	746	49	12	692	55	19	551	31	21	378	14	17	487	25
Pause	17	1163	90	7	933	86	16	659	42	8	681	56	16	532	31	21	392	15	19	465	23
Pech	16	1270	102	12	1003	94	18	804	52	8	686	52	19	576	33	20	383	14	19	450	23
Pelikan	NA	NA	NA	10	1163	106	21	912	60	8	835	66	18	678	39	22	410	16	19	481	24
Person	18	1280	103	14	1049	102	22	753	48	9	678	51	19	576	33	21	384	14	16	475	24
Pfanne	11	1395	110	10	1016	101	18	740	48	10	741	59	20	628	36	21	389	15	18	467	24
Pferd	18	1097	85	13	938	89	19	678	43	11	597	48	20	565	33	21	394	15	19	464	23
pflanzen	NA	NA	NA	13	989	96	19	767	49	11	673	54	20	585	34	21	388	14	19	460	23
Pflaster	NA	NA	NA	10	1146	116	15	907	61	9	722	57	19	653	37	21	407	15	17	461	23
pflegen	NA	NA	NA	16	1072	100	16	876	56	11	738	56	18	601	35	21	399	15	19	468	23
pflücken	NA	NA	NA	7	1188	111	20	900	59	10	746	59	20	700	41	21	424	16	18	490	25
Pilz	16	1165	87	12	984	88	21	756	49	12	742	60	18	583	33	21	388	15	18	467	24
Pinguin	14	1166	90	13	1112	103	15	804	53	11	749	57	13	605	35	21	417	16	18	512	26
Pinsel	15	1198	94	12	1020	91	19	779	49	11	659	55	18	596	34	21	398	15	18	464	23
Pirat	18	1323	100	8	984	91	19	676	44	10	686	53	19	540	31	21	393	15	17	457	23
Pistole	NA	NA	NA	13	1141	111	19	850	57	12	716	54	17	609	35	21	417	16	18	480	24
Plan	18	1194	96	11	908	92	22	701	46	12	677	55	19	555	32	20	409	16	19	452	23
Planet	15	1230	105	11	1027	100	19	802	53	13	701	54	19	627	36	22	407	15	19	470	24
Platz	13	1171	88	14	922	84	20	705	45	11	612	46	20	559	33	20	385	14	19	455	23
Polizist	NA	NA	NA	8	1091	102	19	837	57	10	694	58	20	595	34	20	407	15	18	495	25
Pony	14	1313	105	12	934	85	21	737	49	9	653	50	19	583	33	20	396	15	18	500	26
Post	16	1098	90	10	944	92	21	671	44	9	687	55	18	569	32	22	413	16	19	452	23
Postfach	NA	NA	NA	10	1209	120	20	930	60	10	767	62	20	597	34	21	416	16	18	478	24
praktisch	NA	NA	NA	10	1233	120	18	980	62	9	802	61	16	648	38	21	419	16	18	488	24
Präsident	NA	NA	NA	10	1196	124	21	935	63	10	763	62	18	664	39	22	410	15	19	467	24
Prediger	NA	NA	NA	10	1113	119	20	1057	82	9	982	84	20	693	42	21	418	16	18	489	25
Preis	17	1353	105	14	954	88	18	699	45	11	601	46	19	580	33	21	396	15	19	451	23
Prinz	14	1196	91	13	1004	89	17	749	49	10	677	52	19	557	32	22	395	15	19	479	24
probieren	NA	NA	NA	15	1227	122	22	888	58	13	695	55	18	610	35	22	423	16	19	493	25
Problem	NA	NA	NA	11	1061	110	19	902	58	10	723	57	17	576	35	20	422	16	18	497	25
Professor	NA	NA	NA	11	1197	109	20	1017	68	13	746	58	18	673	39	22	415	16	19	522	27
Programm	NA	NA	NA	7	1129	104	18	826	55	9	714	56	19	613	35	20	409	16	18	480	24
Publikum	NA	NA	NA	12	1294	128	22	896	60	9	812	69	19	620	37	20	441	17	18	519	26
Punkt	17	1178	91	13	1021	99	21	753	49	12	652	53	19	571	32	21	404	15	18	483	24
Puppe	18	1498	111	15	974	97	19	797	51	10	659	53	20	608	35	22	403	15	19	475	24
pusten	NA	NA	NA	12	1090	113	21	855	57	13	729	60	20	601	36	20	408	16	19	487	24
putzen	NA	NA	NA	13	1027	102	21	785	53	11	686	54	19	568	33	22	399	15	19	470	24
Quadrat	NA	NA	NA	12	1146	107	23	923	60	13	825	64	19	659	38	21	416	16	19	505	25
Qualm	15	1273	108	13	1042	96	18	848	59	10	735	58	20	638	37	20	420	16	19	486	24
Quark	18	1128	96	12	1119	111	18	824	54	11	743	60	18	592	34	22	389	15	19	472	24
Quatsch	17	1200	95	10	1056	101	22	895	61	10	746	60	18	595	35	20	407	15	19	478	24
Rad	18	1075	81	13	813	73	18	694	46	10	684	52	19	576	33	18	382	14	18	473	24
Radio	17	1165	93	12	990	91	20	718	46	9	638	49	20	555	32	21	391	15	18	468	24
Rakete	12	1294	104	12	1084	103	22	902	59	9	759	65	19	597	35	21	388	15	19	474	24
Rand	16	1031	78	9	925	87	19	746	49	10	619	48	20	579	34	21	399	15	18	487	25
Ranzen	18	1160	95	11	1226	110	20	814	53	11	773	59	19	631	37	21	386	15	17	479	24
rasch	NA	NA	NA	12	1009	98	22	781	50	9	689	57	19	599	34	20	401	15	18	468	23
Rasen	18	1036	78	8	980	99	22	781	51	9	691	55	18	577	33	21	398	15	19	460	23
Rat	16	909	68	10	902	82	19	656	43	10	637	49	18	579	33	22	396	15	18	463	23
raten	NA	NA	NA	11	958	97	22	726	46	13	653	53	19	572	33	22	397	15	18	483	24
Ratte	15	1012	77	7	914	86	20	706	47	10	667	53	19	587	34	21	378	14	18	449	23
Raum	14	1014	77	8	826	79	20	683	43	10	706	53	20	540	31	21	389	15	18	467	24
Raupe	16	1048	80	8	1138	107	21	745	48	9	704	52	17	602	35	20	413	15	19	468	23
rechnen	NA	NA	NA	14	1041	103	19	812	52	11	721	60	18	602	35	21	379	14	18	480	24
reden	NA	NA	NA	14	1053	102	20	716	46	11	611	48	20	572	33	21	386	15	19	463	23
Regal	10	1228	100	10	899	83	19	739	48	11	680	52	20	604	35	22	374	14	19	469	24
Regen	13	1249	95	8	881	86	21	708	46	12	651	49	18	572	33	20	385	14	18	462	23
Reh	18	1077	86	8	915	86	17	678	45	8	616	48	19	591	34	20	392	15	18	476	24
reich	NA	NA	NA	14	1016	99	20	709	46	12	705	57	19	584	34	21	398	15	18	449	22
Reihe	13	1106	94	11	882	84	20	719	47	10	657	49	17	600	34	17	405	15	18	468	23
Reis	17	1156	94	6	848	79	16	754	49	8	674	51	18	550	32	20	391	15	18	491	25
Reise	18	1054	81	7	855	87	19	680	43	10	644	48	18	579	33	21	397	15	17	446	22
retten	NA	NA	NA	14	1082	110	20	793	54	11	703	55	20	648	37	21	391	15	19	471	24
richtig	NA	NA	NA	3	1002	97	15	707	47	6	655	53	14	547	31	21	389	15	16	469	24
riechen	NA	NA	NA	15	1159	115	20	846	55	9	769	62	17	627	36	21	399	15	17	481	24
Riese	NA	NA	NA	6	903	85	19	785	52	9	680	52	20	587	34	21	396	15	17	488	25
Ring	18	1000	76	11	899	87	20	696	44	9	643	52	19	532	31	20	396	15	18	460	24
Ritter	14	1134	88	9	946	94	13	704	46	9	652	53	18	594	34	16	395	15	18	466	24
Ritual	NA	NA	NA	13	1093	106	20	1003	66	8	867	79	20	677	40	21	391	15	18	489	25
Robbe	16	1172	96	15	1134	125	19	799	54	11	734	58	19	630	37	22	416	16	19	470	24
Rock	17	1063	84	13	933	91	20	700	45	10	658	55	19	556	32	20	397	15	17	486	25
rollen	NA	NA	NA	9	912	89	19	806	53	9	717	58	19	595	34	20	405	15	18	459	23
Rose	18	1033	84	10	918	89	22	729	49	10	582	46	18	589	34	22	403	15	19	508	26
rot	NA	NA	NA	9	826	75	19	668	44	9	667	53	20	572	33	21	426	16	18	471	24
Rücken	16	1180	90	8	1008	92	21	738	50	10	739	58	17	587	33	21	409	15	19	479	24
Rücksicht	NA	NA	NA	12	1120	120	19	948	63	12	814	64	19	644	37	21	431	16	18	511	26
rufen	NA	NA	NA	13	1001	92	22	773	50	9	660	51	19	547	32	21	421	16	18	471	24
Ruhe	12	1146	90	13	995	97	22	694	45	9	677	53	18	579	33	21	413	16	17	488	25
ruhig	NA	NA	NA	9	1089	113	17	816	56	8	777	61	19	601	34	19	415	16	19	507	26
rühren	NA	NA	NA	14	1107	112	21	902	59	9	746	58	19	619	35	20	423	16	18	502	26
Rum	NA	NA	NA	8	1009	102	20	738	51	9	631	56	20	559	36	21	415	17	18	486	26
rund	NA	NA	NA	11	957	93	23	729	48	13	693	56	18	583	33	22	406	15	18	491	25
rutschen	NA	NA	NA	8	1196	121	17	908	58	8	742	55	17	621	36	20	412	16	17	513	26
Sache	13	1157	93	12	1011	95	18	702	45	12	634	48	18	603	35	21	372	14	18	437	22
Sack	14	1083	87	8	882	80	17	652	42	9	628	49	17	574	33	21	386	15	18	438	22
Saft	17	1164	89	12	976	86	20	702	48	9	665	51	17	587	34	21	378	15	19	450	23
sagen	NA	NA	NA	9	918	85	20	693	44	10	696	56	20	556	32	21	380	14	18	440	22
Salat	15	1121	84	11	1056	105	14	718	48	7	658	53	19	591	34	18	380	14	17	447	23
Salz	NA	NA	NA	7	938	91	15	732	48	9	653	52	17	579	33	21	381	14	19	448	23
Samen	NA	NA	NA	12	983	92	18	737	50	12	709	54	19	607	35	21	373	14	18	459	23
sammeln	NA	NA	NA	12	1126	104	22	828	54	9	700	54	19	552	31	21	387	15	18	450	22
Samstag	8	1110	85	14	1032	102	18	754	49	11	685	54	20	581	33	21	389	15	19	469	24
Sand	9	1064	79	5	802	74	15	691	46	8	645	49	18	541	31	21	370	14	18	448	23
satt	NA	NA	NA	9	1035	95	22	742	48	9	656	53	19	597	34	21	381	14	19	456	23
Satz	16	1207	101	10	886	88	22	706	47	13	735	59	17	578	33	20	376	14	19	448	23
Sau	7	1074	80	10	858	82	20	700	44	11	678	50	19	609	35	21	377	14	18	451	23
sauber	NA	NA	NA	8	995	97	21	760	52	10	636	53	19	622	36	21	386	15	19	453	23
Schachtel	11	1084	83	15	1231	122	19	917	61	11	754	61	18	577	34	22	370	14	19	432	22
Schaf	17	1025	78	13	924	85	14	631	42	11	588	45	19	511	30	20	367	14	19	428	22
schaffen	NA	NA	NA	14	976	95	20	721	46	11	692	57	20	569	33	22	356	13	19	429	22
Schal	NA	NA	NA	15	815	79	18	673	43	11	596	45	20	503	29	22	359	13	19	433	22
scharf	NA	NA	NA	11	968	88	19	712	46	8	621	47	15	551	32	21	348	13	18	430	22
Schatten	16	1150	91	9	955	93	20	732	48	10	670	54	19	538	31	21	373	14	19	428	22
Schatz	13	1092	85	9	886	78	21	662	44	9	599	46	18	492	28	22	362	14	19	409	20
schauen	NA	NA	NA	13	946	86	22	707	46	9	616	47	19	515	30	19	364	14	18	411	21
Schaufel	10	1101	82	9	953	87	22	793	52	9	679	55	17	561	32	21	355	14	18	427	22
Schaukel	14	1131	84	9	999	101	20	715	47	7	617	49	19	566	33	22	372	14	18	414	21
Schaum	11	1043	81	10	841	76	20	728	47	10	639	48	20	537	31	21	355	13	18	414	21
Scheibe	14	1100	88	11	978	92	16	788	55	8	726	59	19	554	32	21	355	13	18	427	21
schenken	NA	NA	NA	12	986	96	20	755	50	11	642	51	18	560	33	21	359	14	17	433	22
Schere	13	1083	82	7	892	81	20	726	47	10	666	51	19	540	31	22	361	14	18	417	21
schicken	NA	NA	NA	9	1024	94	19	738	47	9	694	52	18	535	31	21	381	14	19	419	21
schieben	NA	NA	NA	13	982	92	23	716	49	12	674	54	17	553	31	22	359	13	19	416	21
schief	NA	NA	NA	9	930	92	18	700	46	8	670	54	19	589	34	21	357	13	18	424	21
Schiff	NA	NA	NA	11	890	82	18	665	44	10	643	50	19	502	29	20	351	13	18	425	21
Schild	17	1051	80	11	898	83	21	720	47	9	642	49	19	532	31	22	355	13	19	434	22
Schimmel	12	1105	87	12	944	90	18	769	51	10	739	63	18	536	31	21	362	14	16	435	22
schimpfen	NA	NA	NA	9	1068	97	17	769	51	9	707	56	19	561	32	18	365	14	19	438	22
schlachten	NA	NA	NA	10	1072	109	21	827	53	13	700	55	19	616	35	21	389	15	16	463	23
schlafen	NA	NA	NA	13	934	86	19	649	42	9	645	49	17	535	31	21	356	13	18	432	22
schlagen	NA	NA	NA	14	876	91	21	679	47	12	616	51	19	539	32	22	361	14	19	426	21
Schlange	12	1143	87	13	944	88	22	722	48	9	612	51	18	530	30	21	366	14	17	434	22
schlank	NA	NA	NA	11	926	90	20	721	46	10	661	55	17	559	33	22	363	14	18	424	21
schlau	NA	NA	NA	14	922	84	21	671	43	12	628	51	19	534	31	20	366	14	18	421	22
schlecht	NA	NA	NA	14	935	91	21	702	47	12	657	52	18	552	31	21	365	14	18	414	21
Schleife	11	1062	80	10	967	89	20	787	52	10	657	51	20	564	32	21	358	13	18	431	22
schleppen	NA	NA	NA	10	953	88	22	808	53	10	631	49	17	517	29	22	366	14	18	439	22
schleudern	NA	NA	NA	15	1054	102	21	837	59	13	735	59	20	646	37	22	376	14	19	430	22
schließen	NA	NA	NA	9	963	85	19	703	49	10	629	49	19	542	32	21	369	14	18	450	23
schlimm	NA	NA	NA	11	1002	94	21	716	45	9	626	47	19	558	32	21	364	14	18	453	23
Schlitten	14	1258	99	9	1057	110	17	774	50	10	742	59	20	595	34	20	358	13	18	419	21
Schloss	14	1100	83	7	902	85	22	644	41	9	582	44	18	525	31	22	363	14	19	421	21
Schlosser	NA	NA	NA	7	1021	94	16	780	55	9	694	54	19	583	36	21	368	14	18	432	22
schlucken	NA	NA	NA	10	1132	106	20	778	51	10	729	56	20	565	33	19	360	14	17	422	21
Schluss	14	1098	82	13	932	94	19	720	47	10	626	49	20	544	31	22	361	14	18	428	22
Schlüssel	12	1095	85	10	989	91	21	696	46	8	689	52	18	543	32	22	370	14	19	434	22
schmecken	NA	NA	NA	8	924	88	20	717	45	10	666	51	20	568	33	20	359	14	18	433	22
schmelzen	NA	NA	NA	6	948	90	17	786	52	8	638	48	19	541	31	21	365	14	16	427	21
schmücken	NA	NA	NA	13	1039	94	20	834	54	10	691	53	19	592	34	21	379	14	19	446	22
schmutzig	NA	NA	NA	13	1098	111	20	782	52	12	655	52	19	558	32	20	376	14	18	430	22
Schnabel	14	1094	81	10	931	89	22	736	47	9	628	49	19	584	34	22	352	13	19	414	21
Schnecke	10	1133	87	8	923	86	17	734	47	10	658	53	20	549	32	21	366	14	18	421	21
Schnee	20	954	72	14	906	85	20	632	41	9	572	46	18	537	31	20	361	14	18	438	22
schneiden	NA	NA	NA	13	877	85	20	812	52	10	664	54	19	552	32	21	367	14	17	428	21
schnell	NA	NA	NA	13	856	83	20	627	41	11	603	48	19	525	30	21	349	13	18	416	21
Schnur	16	1065	79	16	986	96	23	704	47	12	590	48	20	534	32	21	376	14	19	431	22
Schokolade	NA	NA	NA	15	969	94	20	738	47	10	682	54	20	595	35	22	394	15	19	441	22
schön	NA	NA	NA	8	854	83	20	619	40	10	575	47	20	499	28	21	344	13	17	428	22
Schrank	15	1054	79	14	923	84	22	695	46	9	621	48	19	514	30	20	360	14	18	432	22
Schraube	16	1088	89	13	1065	98	17	714	49	10	706	56	19	537	31	22	364	14	18	429	21
